pipeline,accuracy,precision_macro,recall_macro,f1_macro,train_time_sec,inference_time_sec,inference_time_per_1k_sec,n_train,n_test,cv_accuracy_mean,cv_accuracy_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,cv_f1_macro_mean,cv_f1_macro_std
TF-IDF + Decision Tree,0.6336842105263157,0.5695495488966178,0.630376276345896,0.562988221568407,0.13144679999095388,0.020407299976795912,0.010740684198313638,7600,1900,0.6390526315789474,0.0026294728414308927,0.5621047660092755,0.007940592874597073,0.6356985484744074,0.0025011202015180352,0.5619286147287891,0.002788972541346761
TF-IDF + Linear SVM,0.828421052631579,0.8158804781296062,0.8262868928642226,0.8010273667198494,0.14667190000182018,0.019633799995062873,0.010333578944769934,7600,1900,0.8341052631578947,0.004507918548497645,0.8262542857358103,0.008533085583863044,0.8319081999976078,0.00447484576964498,0.8041479681913728,0.0042353219321180505
TF-IDF + Multinomial NB,0.6563157894736842,0.7734088416296925,0.6537628461234183,0.6048216068806435,0.09956649999367073,0.02432369999587536,0.01280194736625019,7600,1900,0.6637894736842105,0.008482669312802444,0.7427644045003957,0.06049838382213216,0.6612235829942311,0.00849325523332294,0.6097291781008476,0.008438388620577952
TF-IDF + Random Forest,0.8389473684210527,0.8360993841630456,0.836736213658371,0.8091578107298442,0.989909500000067,0.18169009999837726,0.09562636842019856,7600,1900,0.8389473684210527,0.004170865843401896,0.8361563874588944,0.005580513738019652,0.8367383625583056,0.004147832495541042,0.808595233890369,0.005198484584762389
TF-IDF + SVD + MLP (NN),0.7889473684210526,0.81789494062984,0.7870204095646565,0.7563260825525356,17.357787599990843,0.05613210002775304,0.029543210540922654,7600,1900,0.8072631578947369,0.013762528917901208,0.8262067846609078,0.010365617270424201,0.8052656021839331,0.013564732960445318,0.7751627321941992,0.01131783691235703
TF-IDF + k-NN (cosine),0.6742105263157895,0.6493663293139248,0.6704717649944394,0.5772671240137507,0.09827179997228086,0.28961290000006557,0.15242784210529767,7600,1900,0.7963157894736842,0.06718065939859415,0.834319001308204,0.02267527296798928,0.7933516398792085,0.06753537890131325,0.7328583079938003,0.0741001968199013
Word2Vec + Gaussian NB,0.8994736842105263,0.9366246498599441,0.897874905365862,0.8916217966542815,0.8240434000035748,0.06937499999185093,0.03651315789044785,7600,1900,0.9050526315789474,0.007725197108172141,0.9390653264963078,0.0030636625097907526,0.9035664861734173,0.0078273586233965,0.8984852949715755,0.009496599590737126
Word2Vec + MLP (NN),0.7421052631578947,0.7325102880658436,0.7395498392282959,0.6958121333306936,3.829568899993319,0.06612279999535531,0.03480147368176595,7600,1900,0.8342105263157895,0.07216017885747222,0.8536015689390372,0.09914367979744447,0.8331382623936039,0.07175618606048326,0.813153662376218,0.09109545013445726
Word2Vec + Random Forest,0.9,0.9372937293729372,0.8984040058949625,0.8921323002491771,2.26838829999906,0.24171479998040013,0.12721831577915796,7600,1900,0.9054736842105262,0.007760972038386009,0.9395958436870055,0.0031023641527518943,0.903989431722945,0.007861608878155972,0.8988944580215694,0.009515961221014528
Word2Vec + k-NN,0.7884210526315789,0.7393641888733052,0.7880208333333334,0.7416830310051236,0.89772130001802,0.13976720001664944,0.07356168421928917,7600,1900,0.8804210526315789,0.010196952453315682,0.9238706182421543,0.004828222691548735,0.8792240501030074,0.010105543633226709,0.8767903660634773,0.009208363804972808
